OG_name	Emi219	Emi370	Emi374	Emi379	Emihu1	
OG1_5_1515	2	2	1	2	3	
OG1_5_1516	2	2	2	2	2	
OG1_5_1517	2	2	2	2	2	
OG1_5_1518	1	3	1	2	3	
OG1_5_1519	2	2	2	2	2	
OG1_5_1520	2	2	1	3	2	
OG1_5_1521	1	1	2	3	3	
OG1_5_1522	2	2	2	2	2	
OG1_5_1523	1	7	0	0	2	
OG1_5_1524	1	4	2	2	1	
OG1_5_1525	0	9	0	0	1	
OG1_5_1526	1	2	2	3	2	
OG1_5_1527	2	4	1	2	1	
OG1_5_1528	2	7	0	1	0	
OG1_5_1529	1	4	2	2	1	
OG1_5_1530	2	2	2	2	2	
OG1_5_1531	1	4	1	2	2	
OG1_5_1532	2	3	1	2	2	
OG1_5_1533	1	4	2	1	2	
OG1_5_1534	2	3	2	2	1	
OG1_5_1535	2	4	1	1	2	
OG1_5_1536	2	3	1	2	2	
OG1_5_1537	2	2	2	3	1	
OG1_5_1538	3	1	2	1	3	
OG1_5_1539	2	2	2	2	2	
OG1_5_1540	1	2	2	3	2	
OG1_5_1541	2	2	2	3	1	
OG1_5_1542	1	2	2	3	2	
OG1_5_1543	2	3	1	3	1	
OG1_5_1544	3	2	2	2	1	
OG1_5_1545	4	3	2	0	1	
OG1_5_1546	1	2	3	3	1	
OG1_5_1547	3	2	2	2	1	
OG1_5_1548	2	3	2	1	2	
OG1_5_1549	3	2	2	2	1	
OG1_5_1550	3	3	1	2	1	
OG1_5_1551	2	2	2	2	2	
OG1_5_1552	2	2	2	1	3	
OG1_5_1553	2	2	2	2	2	
OG1_5_1554	2	3	1	3	1	
OG1_5_1555	2	3	2	1	2	
OG1_5_1556	2	3	1	3	1	
OG1_5_1557	1	2	4	2	1	
OG1_5_1558	2	3	1	2	2	
OG1_5_1559	1	2	1	2	4	
OG1_5_1560	1	1	1	3	4	
OG1_5_1561	9	0	0	0	0	
OG1_5_1562	2	3	2	1	1	
OG1_5_1563	2	2	2	1	2	
OG1_5_1564	6	1	0	0	2	
OG1_5_1565	2	4	1	1	1	
OG1_5_1566	4	1	2	1	1	
OG1_5_1567	2	2	1	2	2	
OG1_5_1568	3	1	2	2	1	
OG1_5_1569	2	3	2	1	1	
OG1_5_1570	9	0	0	0	0	
OG1_5_1571	3	2	1	2	1	
OG1_5_1572	2	3	1	2	1	
OG1_5_1573	4	2	1	1	1	
OG1_5_1574	3	1	1	0	4	
OG1_5_1575	2	3	1	1	2	
OG1_5_1576	4	2	1	1	1	
OG1_5_1577	4	2	1	1	1	
OG1_5_1578	3	1	1	1	3	
OG1_5_1579	4	2	0	1	2	
OG1_5_1580	3	2	1	1	2	
OG1_5_1581	4	2	0	0	3	
OG1_5_1582	2	2	2	2	1	
OG1_5_1583	2	2	1	1	3	
OG1_5_1584	3	1	1	2	2	
OG1_5_1585	3	2	2	0	2	
OG1_5_1586	2	2	2	2	1	
OG1_5_1587	2	4	1	1	1	
OG1_5_1588	3	2	1	1	2	
OG1_5_1589	2	3	2	1	1	
OG1_5_1590	3	4	1	1	0	
OG1_5_1591	6	1	1	0	1	
OG1_5_1592	4	3	1	0	1	
OG1_5_1593	3	2	1	2	1	
OG1_5_1594	3	3	1	0	2	
OG1_5_1595	2	3	0	2	2	
OG1_5_1596	2	3	2	1	1	
OG1_5_1597	3	1	2	1	2	
OG1_5_1598	4	2	0	1	2	
OG1_5_1599	3	1	3	1	1	
OG1_5_1600	2	2	1	2	2	
OG1_5_1601	3	1	0	1	4	
OG1_5_1602	3	2	1	2	1	
OG1_5_1603	3	2	0	2	2	
OG1_5_1604	2	4	1	1	1	
OG1_5_1605	3	3	1	1	1	
OG1_5_1606	3	4	1	0	1	
OG1_5_1607	2	5	1	1	0	
OG1_5_1608	2	2	2	2	1	
OG1_5_1609	3	3	1	1	1	
OG1_5_1610	2	3	1	1	2	
OG1_5_1611	3	2	2	1	1	
OG1_5_1612	3	2	1	1	2	
OG1_5_1613	2	3	1	1	2	
OG1_5_1614	3	2	2	0	2	
OG1_5_1615	3	2	1	2	1	
OG1_5_1616	4	2	0	0	3	
OG1_5_1617	2	2	1	2	2	
OG1_5_1618	2	2	2	2	1	
OG1_5_1619	2	2	2	2	1	
OG1_5_1620	3	3	1	1	1	
OG1_5_1621	3	1	2	1	2	
OG1_5_1622	3	3	1	1	1	
OG1_5_1623	2	1	2	1	3	
OG1_5_1624	2	1	1	1	4	
OG1_5_1625	1	1	0	0	7	
OG1_5_1626	0	0	0	0	9	
OG1_5_1627	0	0	0	0	9	
OG1_5_1628	2	1	1	3	2	
OG1_5_1629	0	0	0	1	8	
OG1_5_1630	1	1	2	2	3	
OG1_5_1631	2	2	1	2	2	
OG1_5_1632	1	0	1	2	5	
OG1_5_1633	1	2	1	2	3	
OG1_5_1634	3	3	1	0	2	
OG1_5_1635	2	1	1	1	4	
OG1_5_1636	0	0	0	0	9	
OG1_5_1637	0	0	0	0	9	
OG1_5_1638	2	2	1	1	3	
OG1_5_1639	1	3	1	2	2	
OG1_5_1640	1	2	2	1	3	
OG1_5_1641	0	0	0	0	9	
OG1_5_1642	1	4	1	1	2	
OG1_5_1643	0	0	0	1	8	
OG1_5_1644	1	0	1	1	6	
OG1_5_1645	1	2	1	2	3	
OG1_5_1646	1	2	1	1	4	
OG1_5_1647	1	1	1	0	6	
OG1_5_1648	1	1	0	1	6	
OG1_5_1649	0	0	0	0	9	
OG1_5_1650	1	2	2	1	3	
OG1_5_1651	1	0	1	1	6	
OG1_5_1652	0	1	0	0	8	
OG1_5_1653	1	1	1	0	6	
OG1_5_1654	2	2	1	1	3	
OG1_5_1655	1	0	1	2	5	
OG1_5_1656	1	1	2	1	4	
OG1_5_1657	2	2	1	1	3	
OG1_5_1658	1	1	0	0	7	
OG1_5_1659	1	1	0	2	5	
OG1_5_1660	2	1	1	1	4	
OG1_5_1661	2	2	2	1	2	
OG1_5_1662	4	2	0	0	3	
OG1_5_1663	1	2	2	1	3	
OG1_5_1664	1	2	2	1	3	
OG1_5_1665	2	3	1	1	2	
OG1_5_1666	2	2	2	1	2	
OG1_5_1667	1	1	2	1	4	
OG1_5_1668	2	2	1	1	3	
OG1_5_1669	1	2	1	2	3	
OG1_5_1670	2	2	1	1	3	
OG1_5_1671	3	2	1	1	2	
OG1_5_1672	2	2	1	2	2	
OG1_5_1673	2	1	3	1	2	
OG1_5_1674	2	1	0	0	6	
OG1_5_1675	1	2	1	1	4	
OG1_5_1676	1	1	3	1	3	
OG1_5_1677	1	4	1	1	2	
OG1_5_1678	1	4	1	1	2	
OG1_5_1679	1	2	1	1	4	
OG1_5_1680	1	2	2	2	2	
OG1_5_1681	2	1	1	2	3	
OG1_5_1682	2	2	2	1	2	
OG1_5_1683	1	1	2	1	4	
OG1_5_1684	1	2	2	2	2	
OG1_5_1685	2	2	0	3	2	
OG1_5_1686	2	3	0	1	3	
OG1_5_1687	2	3	1	1	2	
OG1_5_1688	1	2	2	2	2	
OG1_5_1689	1	1	1	2	4	
